,price
2013-02-16,4561000
2013-02-17,4561000
2013-02-18,4516000
2013-02-19,4522000
2013-02-20,4503000
2013-02-21,4480000
2013-02-22,4496000
2013-02-23,4496000
2013-02-24,4496000
2013-02-25,4494000
2013-02-26,4456000
2013-02-27,4345000
2013-02-28,4318000
2013-03-01,4333000
2013-03-02,4373000
2013-03-03,4373000
2013-03-04,4365000
2013-03-05,4376000
2013-03-06,4396000
2013-03-07,4392000
2013-03-08,4390000
2013-03-09,4386000
2013-03-10,4386000
2013-03-11,4382000
2013-03-12,4385000
2013-03-13,4405000
2013-03-14,4397000
2013-03-15,4400000
2013-03-16,4398000
2013-03-17,4398000
2013-03-18,4408000
2013-03-19,4402000
2013-03-20,4398000
2013-03-21,4390000
2013-03-22,4389000
2013-03-23,4386000
2013-03-24,4386000
2013-03-25,4375000
2013-03-26,4365000
2013-03-27,4337000
2013-03-28,4377000
2013-03-29,4378000
2013-03-30,4383000
2013-03-31,4383000
2013-04-01,4381000
2013-04-02,4384000
2013-04-03,4363000
2013-04-04,4323000
2013-04-05,4330000
2013-04-06,4348000
2013-04-07,4348000
2013-04-08,4340000
2013-04-09,4324000
2013-04-10,4323000
2013-04-11,4298000
2013-04-12,4282000
2013-04-13,4190000
2013-04-14,4190000
2013-04-15,4090000
2013-04-16,4060000
2013-04-17,4100000
2013-04-18,4100000
2013-04-19,4100000
2013-04-20,4150000
2013-04-21,4150000
2013-04-22,4190000
2013-04-23,4190000
2013-04-24,4200000
2013-04-25,4228000
2013-04-26,4270000
2013-04-27,4270000
2013-04-28,4270000
2013-04-29,4270000
2013-04-30,4270000
2013-05-01,4270000
2013-05-02,4226000
2013-05-03,4220000
2013-05-04,4212000
2013-05-05,4212000
2013-05-06,4180000
2013-05-07,4135000
2013-05-08,4127000
2013-05-09,4155000
2013-05-10,4131000
2013-05-11,4135000
2013-05-12,4135000
2013-05-13,4125000
2013-05-14,4117000
2013-05-15,4108000
2013-05-16,4070000
2013-05-17,4075000
2013-05-18,4060000
2013-05-19,4060000
2013-05-20,4040000
2013-05-21,4060000
2013-05-22,4080000
2013-05-23,4065000
2013-05-24,4070000
2013-05-25,4075000
2013-05-26,4075000
2013-05-27,4090000
2013-05-28,4079000
2013-05-29,4078000
2013-05-30,4090000
2013-05-31,4109000
2013-06-01,4089000
2013-06-02,4089000
2013-06-03,4095000
2013-06-04,4092000
2013-06-05,4092000
2013-06-06,4080000
2013-06-07,4078000
2013-06-08,4057000
2013-06-09,4057000
2013-06-10,4070000
2013-06-11,4055000
2013-06-12,4060000
2013-06-13,4056000
2013-06-14,4035000
2013-06-15,4030000
2013-06-16,4030000
2013-06-17,4025000
2013-06-18,3995000
2013-06-19,3983000
2013-06-20,3890000
2013-06-21,3900000
2013-06-22,3915000
2013-06-23,3915000
2013-06-24,3865000
2013-06-25,3850000
2013-06-26,3715000
2013-06-27,3600000
2013-06-28,3620000
2013-06-29,3720000
2013-06-30,3720000
2013-07-01,3690000
2013-07-02,3720000
2013-07-03,3720000
2013-07-04,3790000
2013-07-05,3780000
2013-07-06,3770000
2013-07-07,3770000
2013-07-08,3740000
2013-07-09,3740000
2013-07-10,3745000
2013-07-11,3730000
2013-07-12,3730000
2013-07-13,3737000
2013-07-14,3737000
2013-07-15,3745000
2013-07-16,3727000
2013-07-17,3745000
2013-07-18,3760000
2013-07-19,3748000
2013-07-20,3750000
2013-07-21,3750000
2013-07-22,3795000
2013-07-23,3850000
2013-07-24,3870000
2013-07-25,3800000
2013-07-26,3825000
2013-07-27,3835000
2013-07-28,3835000
2013-07-29,3820000
2013-07-30,3795000
2013-07-31,3790000
2013-08-01,3770000
2013-08-02,3748000
2013-08-03,3775000
2013-08-04,3775000
2013-08-05,3760000
2013-08-06,3748000
2013-08-07,3727000
2013-08-08,3750000
2013-08-09,3777000
2013-08-10,3775000
2013-08-11,3775000
2013-08-12,3785000
2013-08-13,3782000
2013-08-14,3765000
2013-08-15,3780000
2013-08-16,3802000
2013-08-17,3800000
2013-08-18,3800000
2013-08-19,3818000
2013-08-20,3798000
2013-08-21,3788000
2013-08-22,3782000
2013-08-23,3780000
2013-08-24,3805000
2013-08-25,3805000
2013-08-26,3798000
2013-08-27,3808000
2013-08-28,3860000
2013-08-29,3844000
2013-08-30,3830000
2013-08-31,3825000
2013-09-01,3825000
2013-09-02,3825000
2013-09-03,3824000
2013-09-04,3835000
2013-09-05,3837000
2013-09-06,3822000
2013-09-07,3836000
2013-09-08,3836000
2013-09-09,3838000
2013-09-10,3824000
2013-09-11,3804000
2013-09-12,3772000
2013-09-13,3740000
2013-09-14,3750000
2013-09-15,3750000
2013-09-16,3748000
2013-09-17,3747000
2013-09-18,3730000
2013-09-19,3787000
2013-09-20,3773000
2013-09-21,3745000
2013-09-22,3745000
2013-09-23,3750000
2013-09-24,3743000
2013-09-25,3740000
2013-09-26,3744000
2013-09-27,3738000
2013-09-28,3746000
2013-09-29,3746000
2013-09-30,3746000
2013-10-01,3750000
2013-10-02,3730000
2013-10-03,3738000
2013-10-04,3742000
2013-10-05,3740000
2013-10-06,3740000
2013-10-07,3741000
2013-10-08,3748000
2013-10-09,3740000
2013-10-10,3735000
2013-10-11,3727000
2013-10-12,3716000
2013-10-13,3716000
2013-10-14,3720000
2013-10-15,3703000
2013-10-16,3714000
2013-10-17,3725000
2013-10-18,3728000
2013-10-19,3727000
2013-10-20,3727000
2013-10-21,3727000
2013-10-22,3722000
2013-10-23,3732000
2013-10-24,3728000
2013-10-25,3727000
2013-10-26,3730000
2013-10-27,3730000
2013-10-28,3728000
2013-10-29,3722000
2013-10-30,3723000
2013-10-31,3710000
2013-11-01,3688000
2013-11-02,3688000
2013-11-03,3688000
2013-11-04,3675000
2013-11-05,3667000
2013-11-06,3667000
2013-11-07,3674000
